psc;nazev;pocet volicu;vydane obalky;platne hlasy;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Unie H.A.V.E.L.;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
531367;Adamov;102;74;72;21;0;0;0;0;14;2;0;5;0;2;0;0;0;0;8;0;0;0;4;0;0;7;9;0;0
531111;Bernardov;157;89;89;30;0;0;0;1;14;1;0;5;1;1;0;0;0;2;7;2;1;0;11;0;1;11;1;0;0
533971;Bílé Podolí;502;299;299;136;0;0;0;2;24;3;0;18;0;5;0;0;1;1;30;0;2;1;30;4;0;11;30;0;1
530964;Bludov;28;23;23;5;0;0;0;0;1;1;0;5;0;0;0;0;0;0;2;0;0;0;2;0;0;4;3;0;0
533980;Bohdaneč;337;214;214;105;0;0;0;0;17;6;0;12;0;1;0;0;0;0;11;2;0;0;22;7;0;15;16;0;0
530832;Brambory;97;63;62;36;0;0;0;0;4;0;0;10;3;0;0;0;0;0;3;0;0;0;2;0;0;1;3;0;0
531286;Bratčice;332;224;222;82;0;1;0;0;11;13;0;20;1;1;0;0;0;3;18;1;2;1;17;7;0;23;21;0;0
533998;Církvice;1008;650;642;176;0;1;0;1;59;18;0;59;2;3;0;1;2;0;81;0;4;0;77;13;0;55;87;0;3
534005;Čáslav;8029;4866;4833;1415;4;5;1;12;403;171;9;429;28;29;2;2;7;11;352;11;53;43;410;197;3;499;718;3;16
529524;Čejkovice;34;29;29;8;0;0;0;0;2;4;0;1;0;0;0;0;0;1;4;0;0;0;7;1;0;0;1;0;0
534013;Černíny;331;226;225;69;1;0;0;0;40;9;0;18;5;2;0;0;0;1;28;1;2;2;18;3;0;13;13;0;0
534021;Červené Janovice;558;355;347;90;0;0;0;1;43;19;1;33;0;2;0;0;2;0;35;1;1;1;34;4;0;28;51;0;1
534030;Čestín;387;242;239;92;0;0;0;0;15;2;0;25;1;1;0;0;1;0;30;0;1;1;30;9;0;18;13;0;0
529559;Dobrovítov;98;67;67;19;0;0;0;0;5;1;0;2;0;4;0;0;3;0;10;0;0;1;5;2;0;6;9;0;0
531260;Dolní Pohleď;75;46;45;8;0;0;0;0;9;6;0;3;1;0;0;0;0;0;2;0;0;0;6;0;0;6;4;0;0
531341;Drobovice;328;219;218;91;0;0;0;0;28;3;0;7;2;4;0;0;0;0;13;2;0;4;11;2;0;20;30;0;1
531197;Hlízov;450;309;307;78;0;2;0;0;18;12;0;34;4;0;0;0;0;0;52;1;5;1;34;8;0;35;22;0;1
531430;Horka I;327;207;206;78;0;0;0;0;19;6;0;29;1;2;0;1;0;0;20;1;2;2;22;5;0;8;9;1;0
534056;Horka II;346;216;216;64;0;0;0;1;19;3;1;15;0;1;0;0;0;1;24;0;4;5;33;4;0;20;21;0;0
